cluster,min_support,min_threshold,num_rules,avg_lift,avg_conf,score
Big families (big spenders),0.03,1.2,36,1.2303,0.2725,3.9361
Big families (big spenders),0.03,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.05,1.0,134,1.1125,0.3048,-6.4529
Big families (big spenders),0.05,1.1,80,1.1358,0.3044,1.5162
Big families (big spenders),0.05,1.2,6,1.218,0.3146,4.2831
Big families (big spenders),0.05,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.08,1.0,52,1.1006,0.3394,2.8804
Big families (big spenders),0.08,1.1,24,1.1227,0.3475,4.0632
Big families (big spenders),0.08,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.08,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.1,1.0,12,1.0981,0.4041,4.1026
Big families (big spenders),0.1,1.1,6,1.1155,0.409,4.1644
Big families (big spenders),0.1,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.1,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.15,1.0,6,1.1138,0.4132,4.1676
Big families (big spenders),0.15,1.1,4,1.1217,0.4142,4.1934
Big families (big spenders),0.15,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.15,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.2,1.0,0,0.0,0.0,-20.0
Big families (big spenders),0.2,1.1,0,0.0,0.0,-20.0
Big families (big spenders),0.2,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.2,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.25,1.0,0,0.0,0.0,-20.0
Big families (big spenders),0.25,1.1,0,0.0,0.0,-20.0
Big families (big spenders),0.25,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.25,1.5,0,0.0,0.0,-20.0
Big families (big spenders),0.3,1.0,0,0.0,0.0,-20.0
Big families (big spenders),0.3,1.1,0,0.0,0.0,-20.0
Big families (big spenders),0.3,1.2,0,0.0,0.0,-20.0
Big families (big spenders),0.3,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.01,1.0,20,1.8407,0.1556,5.8333
Clean and healthy,0.01,1.1,20,1.8407,0.1556,5.8333
Clean and healthy,0.01,1.2,20,1.8407,0.1556,5.8333
Clean and healthy,0.01,1.5,20,1.8407,0.1556,5.8333
Clean and healthy,0.02,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.02,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.02,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.02,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.03,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.03,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.03,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.03,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.05,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.05,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.05,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.05,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.08,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.08,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.08,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.08,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.1,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.1,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.1,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.1,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.15,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.15,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.15,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.15,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.2,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.2,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.2,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.2,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.25,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.25,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.25,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.25,1.5,0,0.0,0.0,-20.0
Clean and healthy,0.3,1.0,0,0.0,0.0,-20.0
Clean and healthy,0.3,1.1,0,0.0,0.0,-20.0
Clean and healthy,0.3,1.2,0,0.0,0.0,-20.0
Clean and healthy,0.3,1.5,0,0.0,0.0,-20.0
Gamers,0.01,1.0,6944,1.7796,0.2198,-685.6217
